Sequence,Mean Δt (frames),#Matching Points,Δt Values
W037_035_0_0_condition_W028.npy,2.00,1,2
W037_035_0_0_condition_W029.npy,2.00,1,2
W037_039_0_0_condition_M003.npy,2.00,1,2
W037_039_0_0_condition_M005.npy,2.00,1,2
W037_039_0_0_condition_M007.npy,2.00,1,2
W037_039_0_0_condition_M009.npy,2.00,1,2
W037_039_0_0_condition_M011.npy,2.00,1,2
W037_039_0_0_condition_M012.npy,2.00,1,2
W037_039_0_0_condition_M013.npy,2.00,1,2
W037_039_0_0_condition_M019.npy,2.00,1,2
W037_039_0_0_condition_M022.npy,2.00,1,2
W037_039_0_0_condition_M023.npy,2.00,1,2
W037_039_0_0_condition_M024.npy,2.00,1,2
W037_039_0_0_condition_M025.npy,2.00,1,2
W037_039_0_0_condition_M026.npy,2.00,1,2
W037_039_0_0_condition_M027.npy,2.00,1,2
W037_039_0_0_condition_M028.npy,2.00,1,2
W037_039_0_0_condition_M029.npy,2.00,1,2
W037_039_0_0_condition_M030.npy,2.00,1,2
W037_039_0_0_condition_M031.npy,2.00,1,2
W037_039_0_0_condition_W009.npy,2.00,1,2
W037_039_0_0_condition_W011.npy,2.00,1,2
W037_039_0_0_condition_W014.npy,2.00,1,2
W037_039_0_0_condition_W015.npy,2.00,1,2
W037_039_0_0_condition_W016.npy,2.00,1,2
W037_039_0_0_condition_W018.npy,2.00,1,2
W037_039_0_0_condition_W019.npy,2.00,1,2
W037_039_0_0_condition_W021.npy,2.00,1,2
W037_039_0_0_condition_W023.npy,2.00,1,2
W037_039_0_0_condition_W024.npy,2.00,1,2
W037_039_0_0_condition_W025.npy,2.00,1,2
W037_039_0_0_condition_W026.npy,2.00,1,2
W037_039_0_0_condition_W028.npy,2.00,1,2
W037_039_0_0_condition_W029.npy,2.00,1,2
W037_040_0_0_condition_M003.npy,No matching points,0,[]
W037_040_0_0_condition_M005.npy,No matching points,0,[]
W037_040_0_0_condition_M007.npy,No matching points,0,[]
W037_040_0_0_condition_M009.npy,No matching points,0,[]
W037_040_0_0_condition_M011.npy,No matching points,0,[]
W037_040_0_0_condition_M012.npy,No matching points,0,[]
W037_040_0_0_condition_M013.npy,No matching points,0,[]
W037_040_0_0_condition_M019.npy,No matching points,0,[]
W037_040_0_0_condition_M022.npy,No matching points,0,[]
W037_040_0_0_condition_M023.npy,No matching points,0,[]
W037_040_0_0_condition_M024.npy,No matching points,0,[]
W037_040_0_0_condition_M025.npy,No matching points,0,[]
W037_040_0_0_condition_M026.npy,No matching points,0,[]
W037_040_0_0_condition_M027.npy,No matching points,0,[]
W037_040_0_0_condition_M028.npy,No matching points,0,[]
W037_040_0_0_condition_M029.npy,No matching points,0,[]
W037_040_0_0_condition_M030.npy,No matching points,0,[]
W037_040_0_0_condition_M031.npy,No matching points,0,[]
W037_040_0_0_condition_W009.npy,No matching points,0,[]
W037_040_0_0_condition_W011.npy,No matching points,0,[]
W037_040_0_0_condition_W014.npy,No matching points,0,[]
W037_040_0_0_condition_W015.npy,No matching points,0,[]
W037_040_0_0_condition_W016.npy,No matching points,0,[]
W037_040_0_0_condition_W018.npy,No matching points,0,[]
W037_040_0_0_condition_W019.npy,No matching points,0,[]
W037_040_0_0_condition_W021.npy,No matching points,0,[]
W037_040_0_0_condition_W023.npy,No matching points,0,[]
W037_040_0_0_condition_W024.npy,No matching points,0,[]
W037_040_0_0_condition_W025.npy,No matching points,0,[]
W037_040_0_0_condition_W026.npy,No matching points,0,[]
W037_040_0_0_condition_W028.npy,No matching points,0,[]
W037_040_0_0_condition_W029.npy,No matching points,0,[]
W038_034_0_0_condition_M003.npy,9.00,2,5;13
W038_034_0_0_condition_M005.npy,9.00,2,5;13
W038_034_0_0_condition_M007.npy,9.00,2,5;13
W038_034_0_0_condition_M009.npy,9.00,2,5;13
W038_034_0_0_condition_M011.npy,8.50,2,4;13
W038_034_0_0_condition_M012.npy,9.00,2,5;13
W038_034_0_0_condition_M013.npy,9.00,2,5;13
W038_034_0_0_condition_M019.npy,8.50,2,4;13
W038_034_0_0_condition_M022.npy,9.00,2,5;13
W038_034_0_0_condition_M023.npy,9.00,2,5;13
W038_034_0_0_condition_M024.npy,6.00,3,7;4;7
