Sequence,Mean Δt (frames),#Matching Points,Δt Values
M041_034_0_0_condition_M013.npy,1.40,5,1;2;3;1;0
M041_034_0_0_condition_M019.npy,1.20,5,1;1;3;1;0
M041_034_0_0_condition_M022.npy,1.83,6,1;2;3;1;0;4
M041_034_0_0_condition_M023.npy,1.83,6,1;2;3;1;0;4
M041_034_0_0_condition_M024.npy,1.67,6,2;2;3;1;0;2
M041_034_0_0_condition_M025.npy,1.40,5,1;2;3;1;0
M041_034_0_0_condition_M026.npy,1.83,6,1;2;3;1;0;4
M041_034_0_0_condition_M027.npy,1.83,6,1;2;3;1;0;4
M041_034_0_0_condition_M028.npy,1.67,6,1;2;3;1;0;3
M041_034_0_0_condition_M029.npy,1.17,6,1;2;3;1;0;0
M041_034_0_0_condition_M030.npy,1.25,4,1;3;1;0
M041_034_0_0_condition_M031.npy,1.20,5,1;1;3;1;0
M041_034_0_0_condition_W009.npy,1.33,6,1;1;2;3;1;0
M041_034_0_0_condition_W011.npy,1.40,5,1;2;3;1;0
M041_034_0_0_condition_W014.npy,1.20,5,1;1;3;1;0
M041_034_0_0_condition_W015.npy,1.40,5,1;2;3;1;0
M041_034_0_0_condition_W016.npy,1.20,5,1;1;3;1;0
M041_034_0_0_condition_W018.npy,1.67,6,1;2;3;1;0;3
M041_034_0_0_condition_W019.npy,1.20,5,1;1;3;1;0
M041_034_0_0_condition_W021.npy,1.40,5,1;2;3;1;0
M041_034_0_0_condition_W023.npy,1.83,6,1;2;3;1;0;4
M041_034_0_0_condition_W024.npy,1.40,5,1;2;3;1;0
M041_034_0_0_condition_W025.npy,1.20,5,1;1;3;1;0
M041_034_0_0_condition_W026.npy,1.40,5,1;2;3;1;0
M041_034_0_0_condition_W028.npy,1.50,6,1;2;3;1;0;2
M041_034_0_0_condition_W029.npy,1.40,5,1;2;3;1;0
M041_035_0_0_condition_M003.npy,3.00,2,4;2
M041_035_0_0_condition_M005.npy,3.00,2,4;2
M041_035_0_0_condition_M007.npy,2.00,1,2
M041_035_0_0_condition_M009.npy,2.00,1,2
M041_035_0_0_condition_M011.npy,3.00,2,4;2
M041_035_0_0_condition_M012.npy,3.00,2,4;2
M041_035_0_0_condition_M013.npy,3.00,2,4;2
M041_035_0_0_condition_M019.npy,3.00,2,4;2
M041_035_0_0_condition_M022.npy,3.00,2,4;2
M041_035_0_0_condition_M023.npy,3.00,2,4;2
M041_035_0_0_condition_M024.npy,2.00,1,2
M041_035_0_0_condition_M025.npy,3.00,2,4;2
M041_035_0_0_condition_M026.npy,2.00,1,2
M041_035_0_0_condition_M027.npy,3.00,2,4;2
M041_035_0_0_condition_M028.npy,2.00,1,2
M041_035_0_0_condition_M029.npy,2.00,1,2
M041_035_0_0_condition_M030.npy,3.00,2,4;2
M041_035_0_0_condition_M031.npy,3.00,2,4;2
M041_035_0_0_condition_W009.npy,3.00,2,4;2
M041_035_0_0_condition_W011.npy,3.00,2,4;2
M041_035_0_0_condition_W014.npy,3.00,2,4;2
M041_035_0_0_condition_W015.npy,3.00,2,4;2
M041_035_0_0_condition_W016.npy,3.00,2,4;2
M041_035_0_0_condition_W018.npy,3.00,2,4;2
M041_035_0_0_condition_W019.npy,3.00,2,4;2
M041_035_0_0_condition_W021.npy,3.00,2,4;2
M041_035_0_0_condition_W023.npy,2.00,1,2
M041_035_0_0_condition_W024.npy,2.00,1,2
M041_035_0_0_condition_W025.npy,3.00,2,4;2
M041_035_0_0_condition_W026.npy,3.00,2,4;2
M041_035_0_0_condition_W028.npy,2.00,1,2
